SampleID,StationCode,FinalID,LifeStageCode,Distinct,BAResult
173332,TC-Lower/518TCL004v1,Anax junius,L,0,1
173332,TC-Lower/518TCL004v1,Callibaetis,L,0,6
173332,TC-Lower/518TCL004v1,Chironomidae,P,0,7
173332,TC-Lower/518TCL004v1,Chironominae,L,0,202
173332,TC-Lower/518TCL004v1,Clitellata,X,0,1
173332,TC-Lower/518TCL004v1,Coenagrion,L,0,1
173332,TC-Lower/518TCL004v1,Corixidae,A,0,6
173332,TC-Lower/518TCL004v1,Culicoides,L,0,2
173332,TC-Lower/518TCL004v1,Dytiscidae,L,0,5
173332,TC-Lower/518TCL004v1,Enallagma,L,0,1
173332,TC-Lower/518TCL004v1,Ephydridae,L,0,1
173332,TC-Lower/518TCL004v1,Gerridae,A,0,1
173332,TC-Lower/518TCL004v1,Hyalella,X,0,227
173332,TC-Lower/518TCL004v1,Hydraena,A,0,1
173332,TC-Lower/518TCL004v1,Hydroporus,A,0,1
173332,TC-Lower/518TCL004v1,Lebertia,X,0,3
173332,TC-Lower/518TCL004v1,Lestes,L,0,1
173332,TC-Lower/518TCL004v1,Muscidae,L,0,1
173332,TC-Lower/518TCL004v1,Ochthebius,A,0,2
173332,TC-Lower/518TCL004v1,Oligochaeta,X,0,17
173332,TC-Lower/518TCL004v1,Orthocladiinae,L,0,65
173332,TC-Lower/518TCL004v1,Oxyethira,L,0,5
173332,TC-Lower/518TCL004v1,Physa,X,0,1
173332,TC-Lower/518TCL004v1,Pisidium,X,0,12
173332,TC-Lower/518TCL004v1,Probezzia,L,0,5
173332,TC-Lower/518TCL004v1,Simulium,L,0,1
173332,TC-Lower/518TCL004v1,Staphylinidae,A,0,1
173332,TC-Lower/518TCL004v1,Stictotarsus,A,0,1
173332,TC-Lower/518TCL004v1,Tanypodinae,L,0,26
173332,TC-Lower/518TCL004v1,Testudacarus,X,0,1
173332,TC-Lower/518TCL004v1,Tipulidae,L,0,1
173332,TC-Lower/518TCL004v1,Tipulidae,P,0,6
173333,TC-Lower/518TCL004v2,Anax junius,L,0,3
173333,TC-Lower/518TCL004v2,Argia,L,0,3
173333,TC-Lower/518TCL004v2,Atrichopogon,L,0,12
173333,TC-Lower/518TCL004v2,Callibaetis,L,0,42
173333,TC-Lower/518TCL004v2,Chironomidae,P,0,3
173333,TC-Lower/518TCL004v2,Chironominae,L,0,71
173333,TC-Lower/518TCL004v2,Clitellata,X,0,4
173333,TC-Lower/518TCL004v2,Coenagrion,L,0,9
173333,TC-Lower/518TCL004v2,Colymbetes,A,0,2
173333,TC-Lower/518TCL004v2,Dasyhelea,L,0,54
173333,TC-Lower/518TCL004v2,Dixella,L,0,1
173333,TC-Lower/518TCL004v2,Helobdella stagnalis,X,0,3
173333,TC-Lower/518TCL004v2,Hyalella,X,0,153
173333,TC-Lower/518TCL004v2,Hydrobiidae,X,0,1
173333,TC-Lower/518TCL004v2,Hydroporus,A,0,1
173333,TC-Lower/518TCL004v2,Limnephilidae,L,0,20
173333,TC-Lower/518TCL004v2,Lymnaea,X,0,1
173333,TC-Lower/518TCL004v2,Orthocladiinae,L,0,27
173333,TC-Lower/518TCL004v2,Oxyethira,L,0,3
173333,TC-Lower/518TCL004v2,Physa,X,0,6
173333,TC-Lower/518TCL004v2,Planorbidae,X,0,2
173333,TC-Lower/518TCL004v2,Probezzia,L,0,16
173333,TC-Lower/518TCL004v2,Ptychopteridae,L,0,1
173333,TC-Lower/518TCL004v2,Simuliidae,P,0,1
173333,TC-Lower/518TCL004v2,Simulium,L,0,6
173333,TC-Lower/518TCL004v2,Tanypodinae,L,0,37
173334,TC-Lower/518TCL004v3,Argia,L,0,1
173334,TC-Lower/518TCL004v3,Baetis,L,0,3
173334,TC-Lower/518TCL004v3,Chironomidae,P,0,9
173334,TC-Lower/518TCL004v3,Chironominae,L,0,134
173334,TC-Lower/518TCL004v3,Chrysops,L,0,1
173334,TC-Lower/518TCL004v3,Dytiscidae,L,0,2
173334,TC-Lower/518TCL004v3,Gomphidae,L,0,1
173334,TC-Lower/518TCL004v3,Helobdella stagnalis,X,0,3
173334,TC-Lower/518TCL004v3,Hyalella,X,0,88
173334,TC-Lower/518TCL004v3,Lebertia,X,0,7
173334,TC-Lower/518TCL004v3,Leptophlebiidae,L,0,1
173334,TC-Lower/518TCL004v3,Nemata,X,0,3
173334,TC-Lower/518TCL004v3,Onocosmoecus unicolor,L,0,1
173334,TC-Lower/518TCL004v3,Orthocladiinae,L,0,159
173334,TC-Lower/518TCL004v3,Physa,X,0,4
173334,TC-Lower/518TCL004v3,Pisidium,X,0,5
173334,TC-Lower/518TCL004v3,Probezzia,L,0,19
173334,TC-Lower/518TCL004v3,Sialis,L,0,1
