SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
PIBO:0022,PIBO,48.858425,-120.16147,24384847,1686.884614,1768.990282,8.503173702,3.0618
PIBO:0075,PIBO,48.866063,-117.00533,22988917,1004.450208,2794.614329,4.431558839,6.9921
PIBO:0089,PIBO,47.910281,-116.2306,24374846,1084.658608,1190.179459,2.705275188,6.3306
PIBO:0090,PIBO,47.944268,-116.05568,24373564,1109.864062,1943.791649,4.57546335,29.0763
PIBO:0092,PIBO,47.928421,-116.27805,24374580,1070.470865,494.6533232,7.034709232,4.0482
PIBO:0102,PIBO,47.718386,-115.9193,24373000,1228.371757,1213.907276,8.985140705,2.7072
PIBO:0115,PIBO,48.203392,-115.93812,22877833,1046.181693,3807.103729,6.71694951,133.9308
PIBO:0126,PIBO,48.615505,-115.47478,22879411,1467.008247,1504.56949,3.980746335,29.7738
PIBO:0136,PIBO,47.736967,-115.2905,22976962,1796.322981,2715.426643,10.82885553,83.0583
PIBO:0175,PIBO,48.069306,-113.15193,22957463,1616.4939,2671.067185,5.416277764,11.9763
PIBO:0176,PIBO,48.157026,-113.41391,22957561,1620.739218,2460.94103,6.318456757,9.3807
PIBO:0177,PIBO,48.063985,-113.24517,22959351,1591.740275,1945.211895,2.252219624,41.1273
PIBO:0184,PIBO,47.991795,-113.56269,22966282,1281.880409,3525.138445,5.419518792,9.0234
PIBO:0185,PIBO,47.941661,-113.64775,22965258,1728.024822,1464.562335,5.020529728,67.6674
PIBO:0187,PIBO,47.760354,-113.50308,22965426,1712.522327,1678.448316,7.479876977,2.9547
PIBO:0188,PIBO,47.905667,-113.22956,22966220,1616.28193,708.8416225,4.55910648,20.8944
PIBO:0190,PIBO,47.659721,-113.34035,22967840,1377.545516,1585.801127,6.488113608,1.7568
PIBO:0191,PIBO,47.528548,-113.52156,22965612,1883.640624,2217.371397,10.92420851,4.2336
PIBO:0192,PIBO,47.559544,-113.53603,22966328,1816.829374,1586.954638,11.33696507,5.2353
PIBO:0193,PIBO,47.651489,-113.37007,22965526,1628.539358,1551.256242,6.039898746,22.905
PIBO:0194,PIBO,47.276173,-113.00314,22913462,1740.742378,3989.358743,9.126752125,7.6329
PIBO:0195,PIBO,47.340363,-113.02958,22965916,1578.97204,3219.938132,9.029524796,17.1441
PIBO:0202,PIBO,47.687545,-113.61328,24350590,1957.756921,1233.389082,7.371875113,13.0374
PIBO:0210,PIBO,47.121922,-112.8067,22913280,1874.854077,3787.721636,7.887537997,12.9474
PIBO:0213,PIBO,47.123215,-112.55951,22912878,1896.109925,3175.086887,9.424633613,2.6757
PIBO:0216,PIBO,47.1517,-112.7566,22915486,1859.053764,4256.035434,8.065743575,20.0592
PIBO:0229,PIBO,46.063141,-113.22351,24293866,2680.100627,1625.201671,2.902473104,4.2282
PIBO:0234,PIBO,46.408178,-112.96771,24293516,2163.264999,1706.251044,3.781604415,21.2742
