SampleID,reachid,fieldnotes,LAT,LONG,ElevCat,WsAreaSqKm,Tmean8110Ws,Precip8110Ws
172386,CF-LS-20318,PN_17,44.44493,-113.612869,2248.369918,147.6675,1.244451001,753.8482363
172387,CF-LS-33866,PN_17,44.66135,-113.927793,1884.597044,56.6451,2.768745124,658.3842249
172388,CF-LS-38470,PN_17,44.296851,-113.65806,2096.088127,317.6361,1.223511305,675.0740232
172389,CF-LS-39006,PN_17,44.48394,-113.752157,1746.887371,228.6459,2.325746287,602.2462957
172390,CF-LS-56154,PN_17,44.197583,-113.723417,2507.243055,20.9601,0.508667716,749.295994
172391,CF-SS-38954,PN_17,44.105746,-114.206686,2196.65743,36.7848,2.135518722,616.548971
172392,CF-SS-54918,PN_17,44.198563,-113.650348,2367.692248,38.6748,1.076028907,722.6410429
172393,CH-TR-1195,PN_17,44.501065,-113.82516,1667.754187,1172.6181,2.415887014,528.8326707
172394,CH-TR-1218,PN_17,44.523218,-113.844421,1932.976846,1211.823,2.480201867,522.2410967
172395,CH-TR-1300,PN_17,44.077292,-114.456733,2386.388438,436.0095,1.477001329,838.9678456
172396,CH-TR-1302,PN_17,44.151205,-114.381587,2017.822646,69.9255,2.806050383,589.7291319
172397,CH-TR-1317,PN_17,44.530559,-113.854525,1932.976846,1211.823,2.480201867,522.2410967
172398,CN-LS-43818,PN_17,44.170216,-114.190136,2010.015442,98.5959,2.502311176,514.5886027
172399,CN-SS-11146,PN_17,44.554818,-114.322748,1773.006871,12.7674,4.200433987,370.140035
172400,CN-SS-11290,PN_17,43.98989,-113.925025,2378.467154,11.3805,2.590643807,506.430254
172401,CN-SS-16538,PN_17,44.209203,-114.075969,2588.898844,1.2537,2.198730537,560.9099254
172402,CN-SS-39978,PN_17,44.0961,-114.182565,2327.874427,31.0725,2.00280461,641.8304257
172403,CN-SS-47034,PN_17,44.714862,-114.293326,2115.586156,7.2693,3.506117938,490.6473628
