SiteID,Model,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
4903512,UT,41.881318,-111.725776,4564446,1868.2425,361.6827823,7.963506548,56.6298
4904334,UT,41.973817,-111.706331,4563124,2102.63025,1237.948743,4.01563279,465.6609
4905140,UT,41.706403,-111.862222,664528,1364.659129,1431.205166,2.418936538,53.2908
4905256,UT,41.819197,-111.613436,664248,2010.731928,1323.824413,4.549381655,425.6361
4905260,UT,41.829654,-111.609242,664248,2010.731928,1892.019288,4.065629036,343.5354
4905440,UT,41.6266,-111.800775,666246,1658.130827,971.6317359,2.823039114,50.2713
4905832,UT,41.511604,-111.686464,665052,1767.710875,1462.457679,4.427864144,40.1616
4924665,UT,41.321051,-111.711325,10274046,1942.067876,680.0123152,10.59503436,11.6748
4924690,UT,41.284663,-111.650211,10274228,1770.846302,897.9741841,15.07307878,1.4076
4924780,UT,41.295775,-111.559651,10274176,2006.790308,853.2129722,13.83721583,69.3729
4924790,UT,41.288553,-111.565484,10276000,1890.503463,857.2618551,13.69869862,65.9907
4925987,UT,41.234665,-111.349917,10089334,1901.144,1253.507919,7.734304521,11.916
4927250,UT,40.752893,-111.374333,10093196,1899.141221,549.0901191,8.126348774,139.1319
4929140,UT,40.662172,-111.179902,10092650,2578.681358,462.5965764,1.64300123,13.2534
4929420,UT,40.752726,-110.987644,10094254,2864.612114,749.1912164,5.615075384,46.71
4930780,UT,39.502744,-111.167116,4875325,2733.647093,1327.237796,6.235400872,17.3331
4930840,UT,39.243404,-111.353115,4877491,2922.730715,964.4558078,2.541629843,14.4954
4931379,UT,39.687741,-111.059057,3906527,2552.709662,707.6084518,1.832962314,205.1001
4933125,UT,39.380161,-110.143484,3897663,1926.60633,787.1096975,-0.684272852,125.7696
4933130,UT,39.567467,-110.295711,3896517,2633.007741,973.5224357,1.033033902,65.8701
4933214,UT,39.546632,-110.055983,3896505,1608.40419,476.1591941,4.379195141,9.6723
4933246,UT,39.684716,-109.997549,3897423,1575.276521,1122.041173,2.281402023,351.2934
4933502,UT,39.342253,-109.802984,3522133,2519.581871,691.8835483,1.187014886,41.2956
4933690,UT,39.334689,-109.6668,3522159,2359.626488,506.40215,3.428797392,190.5516
4934340,UT,40.517715,-110.034366,11977123,2050.127624,746.1001542,1.335718385,13.6962
4935074,UT,40.642731,-109.968764,11978247,2856.861094,750.6822213,0.792169339,54.972
4935078,UT,40.75384,-109.995987,11978245,3141.283291,487.7300016,7.98666818,40.3902
4935120,UT,40.595225,-110.341549,11976025,2669.378688,316.5912368,6.03914915,6.4791
4935181,UT,40.704947,-110.182378,11975499,2941.789758,838.190106,2.014195297,65.871
4935530,UT,40.583634,-110.703552,11976061,2852.931303,1260.524072,1.043570927,23.5593
4935970,UT,40.606183,-110.524483,11975975,2841.106471,938.9706167,3.231158384,268.4754
4936750,UT,40.461334,-110.830719,11983391,2229.14924,1134.524342,14.36875828,3.0042
4936800,UT,40.449446,-111.014815,11978575,2599.060464,707.1025084,12.53439604,12.5505
4936805,UT,40.446002,-111.023944,11978593,2649.812569,757.7966581,15.1514869,79.1289
4936860,UT,40.633834,-110.88878,11976913,2943.544599,980.2395994,2.952219287,7.425
4937653,UT,40.653845,-109.756953,1393665,2834.763172,728.8047794,-0.005286178,757.431
4937720,UT,40.577458,-109.622086,1393763,2066.844025,1026.421379,1.357303351,77.6106
4938870,UT,40.845509,-109.940708,10039742,2938.531525,779.3279853,4.097575327,7.5816
4938887,UT,40.891703,-109.965514,10039428,2861.548753,934.0174062,1.969886162,48.4191
4938910,UT,40.869952,-110.010431,10038104,3124.385426,926.019993,3.120796303,8.8866
4939256,UT,40.872054,-110.088323,10038084,2974.854222,926.019993,3.120796303,8.8866
4939450,UT,40.914668,-110.404049,3199208,3047.054198,821.8237258,2.124264269,32.373
4939505,UT,40.894934,-110.423115,3199234,3060.34903,838.9534605,1.956346619,31.3884
4940190,UT,38.85328,-112.28672,1204146,2653.656516,369.953369,7.420022414,137.7531
4940201,UT,38.953242,-112.256824,1204130,1974.150567,877.4992643,5.474073865,56.4147
4940205,UT,38.9516,-112.26319,1204126,1956.912466,829.1109636,5.512168191,317.0133
4940340,UT,38.339138,-112.539104,1214885,2280.017186,1878.403239,6.938193585,24.3954
4940520,UT,37.767754,-112.900501,14599549,2261.743614,464.1423342,4.738780609,46.1817
4946370,UT,39.256389,-111.61694,5302465,2391.14703,664.4935357,2.499748544,349.9794
4948813,UT,38.504416,-112.492436,3504585,2760.63039,1259.417548,5.433195928,35.5734
4948843,UT,38.58386,-112.404656,3504311,2014.516902,852.6612917,4.324501046,26.2827
4948920,UT,38.440536,-111.948247,10806229,2263.890947,1377.540733,12.65154755,29.5749
4948966,UT,38.409141,-112.342846,3507181,2732.964238,1861.70748,9.08512977,14.2092
4948979,UT,38.334977,-112.234009,3507943,2205.241403,1359.486734,9.133488016,151.4529
4949135,UT,38.427756,-112.120198,3507123,2288.559236,1559.914016,12.26364523,19.5012
4949447,UT,38.175587,-112.36518,10814954,2564.587935,1324.948595,9.166419022,29.61
4949593,UT,38.10304,-111.882136,10806661,2402.247511,1305.550509,10.88367698,5.0067
4950020,UT,37.020119,-113.67271,4914802,832.673458,894.0247941,-0.249547967,65.547
4950075,UT,37.373893,-114.001254,4922572,1237.892,668.3243755,4.665485911,36.9279
4950290,UT,37.291645,-113.413841,10023664,1636.499025,753.8514458,5.840245136,46.845
4950340,UT,37.26654,-113.36893,10023748,1359.012838,209.5322846,13.06244082,15.3684
4950471,UT,37.02604,-112.945798,20654098,1606.17627,903.6327013,0.01823205,125.0856
4950685,UT,37.368869,-113.45287,10023282,2610.456253,776.1857424,4.835467038,12.9735
4950790,UT,37.298871,-113.247726,10023596,1440.220092,652.7703068,6.088742917,81.765
4950917,UT,37.269149,-113.093555,10023776,1398.757977,372.4179919,10.58990793,81.1773
4951200,UT,37.284815,-112.948857,10025834,1525.410562,667.3476042,6.592171774,37.9872
4951210,UT,37.432479,-112.917998,10025564,1958.973977,688.1026389,3.709814758,158.2335
4951310,UT,37.41705,-112.92439,10025626,1940.103936,545.6949634,4.802805824,37.9377
4951643,UT,37.425315,-112.581655,10025598,2220.556193,368.4422439,8.794494693,16.6734
4953173,UT,37.38851,-109.68848,1399814,1442.523329,593.2512831,6.127354229,27.9756
4953462,UT,37.799378,-109.51106,1399314,2718.075843,590.7066442,5.496700691,692.3484
4953463,UT,37.80305,-109.509567,1399314,2718.075843,664.860613,5.776872993,5.3991
4954080,UT,37.853877,-111.355172,3277707,1778.929715,452.939398,8.502251202,88.0758
4954194,UT,37.452213,-110.905429,3279239,1524.401348,965.813807,-1.887000262,64.2546
4954210,UT,37.776254,-111.418777,3277833,1749.17931,735.7788595,0.596053623,85.0239
4954520,UT,37.97791,-111.65524,3277521,2595.264339,1877.465348,7.938042409,132.1389
4954590,UT,37.862765,-111.636011,3278555,2216.590807,842.9124482,4.038191016,12.7683
4955082,UT,37.861627,-111.752266,3277687,2278.726455,564.8942683,6.443799819,70.7787
4955790,UT,37.983047,-109.516789,3381445,2059.686004,1242.783443,12.23727445,119.3004
4955820,UT,37.937768,-109.637624,3381489,1922.073542,1184.429445,10.69597207,409.1589
4955840,UT,37.84166,-109.502345,3381679,3068.238802,848.5943264,2.419684592,219.879
4956395,UT,38.561249,-109.522109,3379027,1328.431397,972.0712094,4.456384908,257.9202
4956399,UT,38.4801,-109.39751,3379335,2062.605377,657.3788547,4.640247181,29.1807
4956435,UT,38.508875,-109.293726,3379273,2428.325494,1232.656371,5.120730703,16.9182
4957150,UT,38.608333,-109.531945,3379019,1594.4826,1555.546709,5.288088637,22.0275
4958032,UT,38.671093,-109.450395,3378673,1445.213392,1243.248571,5.586790533,32.8689
4958075,UT,38.590542,-109.260115,3379021,2401.522545,1313.515999,4.249987535,9.531
4958552,UT,39.072777,-109.61907,2521278,1983.820814,623.878577,4.521286124,21.7458
4958755,UT,38.633486,-109.203114,18369704,2232.003757,1732.377967,5.249881936,13.689
4958785,UT,38.724429,-109.08714,18369706,2074.450071,1175.525416,6.461812711,19.8864
4958890,UT,38.385154,-109.20889,18382081,2804.159176,1907.486586,10.13549799,447.9228
4958895,UT,38.497626,-109.156501,18370986,2836.693317,855.034299,2.759428108,48.2031
4959752,UT,39.191972,-109.506653,2521556,2078.56311,868.777977,-0.260778735,37.8126
4960100,UT,39.779663,-113.866383,10682632,2409.859385,1212.582974,11.09522958,53.3016
4960120,UT,39.744108,-113.889994,10683178,2417.423784,1080.217191,2.337213338,16.2306
4960132,UT,39.721608,-113.909439,10683176,2531.129068,1272.613579,1.32595353,7.0128
4960154,UT,40.492442,-112.58232,10395905,2514.786126,1272.342169,0.636283332,10.6803
4990352,UT,41.0005,-111.864939,7913954,1393.025221,463.5642778,16.09387933,23.2938
4991935,UT,40.793823,-111.876018,10389370,1597.707698,564.0241964,6.284814566,384.8967
4994983,UT,40.444397,-111.640061,10328141,2150.124471,900.2911447,12.83328506,25.0092
4995825,UT,39.85667,-111.61494,10350732,2018.359188,1146.636433,3.272418293,37.9719
4995845,UT,39.862003,-111.660158,10350742,2238.395262,515.3811112,5.207370714,47.8278
4995928,UT,39.97604,-111.213202,10350398,2142.819994,751.7025074,11.35922584,34.5366
4995945,UT,39.868848,-111.203506,10350762,2503.120605,473.6364943,5.654884248,248.2506
4998470,UT,40.513696,-111.06189,10373784,2632.574053,1140.252574,2.179894648,22.3308
4998700,UT,40.593289,-111.093573,10373646,2518.32611,796.2830502,1.621908399,55.8117
4999050,UT,40.633181,-110.9356,10375020,3001.961656,935.0285885,3.184560321,12.7683
5907800,UT,40.82484,-110.92938,7888192,3023.131813,552.1841006,7.085810711,5582.2446
5931650,UT,39.775239,-111.186006,3907351,2419.057818,1290.885858,8.819391068,231.8931
5937940,UT,40.867178,-109.822706,10039596,2605.109088,774.0067398,3.643144077,2.3193
5939350,UT,40.957399,-110.401256,3199134,2887.802199,442.6350555,8.417437168,19.953
5939790,UT,40.958782,-110.57969,3199586,2783.055509,632.1087532,12.32038172,11.9772
5940440,UT,38.279971,-112.567882,1215135,2068.638824,1172.360184,14.50844682,23.0598
5940880,UT,38.275806,-112.430627,1215175,2806.383691,846.3095481,14.77040259,8.8155
5941120,UT,38.293029,-112.410765,1215045,2711.500865,1408.541873,10.62366925,15.3405
5956154,UT,38.638224,-111.655993,4899797,2996.091255,1074.650772,4.753861477,39.5613
5987540,UT,40.558787,-110.88931,11976929,2825.85439,751.2673918,3.115464642,21.2625
5989066,UT,39.257137,-111.551561,5302463,2481.2885,565.8902212,4.283639187,31.3893
5989260,UT,38.05295,-111.45496,3276941,3169.987888,1326.695656,11.23667575,22.2561
5994002,UT,37.789099,-111.461476,3277837,1733.807737,660.632367,1.507500735,294.8679
5994042,UT,37.805238,-111.512616,3277783,1882.920718,630.0756632,4.131776039,128.5497
