,COMID,ElevCat,LAT,LONG,Precip8110Ws,region_vpu,SAMPLEID,Tmean8110Ws,WsAreaSqKm
1,1169026,1892.705567,41.73226547,-114.0174561,443.704886,GB_16,464A34D7-87BA-426D-9FC6-0B32FC37E8C9 ,6.340386244,24.7248
2,1169054,1898.271372,41.70170975,-114.0365982,383.9181689,GB_16,38C30F67-97F6-49A6-856A-C2A9DC1D82A5 ,6.661600293,7.8678
3,1169790,1888.940969,41.78936386,-113.8157043,587.6680679,GB_16,47C50A1E-4B55-488B-913A-513AF9AAE314,5.457812424,11.8998
4,1171288,1811.950278,41.75079346,-113.9602966,428.3696339,GB_16,5BD658FE-A419-483F-AB87-FA98CF4053F0 ,6.537047171,12.5613
5,1171288,1811.950278,41.75429916,-113.9596939,428.3696339,GB_16,244A3FE7-B15A-42A5-AA92-35DFDDAA7B1F ,6.537047171,12.5613
6,1196608,1952.211485,39.93281555,-112.6675262,629.9491853,GB_16,2318F12A-A634-47C5-B136-E2177770BA19,7.474905286,6.8526
7,1196732,2197.904036,39.88788223,-112.4302597,631.8193517,GB_16,D081551E-2AC8-4597-B87B-69A9341B616C,7.340851405,8.9874
8,1202032,1431.324458,39.40433502,-112.5023804,452.1487959,GB_16,3B176E9F-FA42-4D56-A270-6458B78ADC12 ,7.168663111,16165.2024
9,1214691,2159.358815,38.41493607,-112.8493958,476.5901866,GB_16,872842A5-0BA6-422B-9126-BA7EC2827F4C,7.814297167,19.4796
10,1215367,1746.147671,38.21430969,-112.8656769,487.1546162,GB_16,B798E680-4F40-4EA5-AEAC-9E1A6FCF1AE1,7.330736239,1396.5372
11,1215381,2181.731181,38.21520615,-112.5362625,616.8999599,GB_16,E6DA233C-1941-4F5C-92FF-0AD168004A30,5.512350676,13.338
12,1385504,1459.204402,37.16359711,-109.9429398,358.1333205,CO_14,6C4A242D-FB46-41E6-81F0-9705BD81967D,9.550116141,58762.0035
13,1399140,1887.898676,37.5672226,-109.7304459,448.2114763,CO_14,789B8030-3D33-4078-A00D-1EF094E613B9,8.981741737,89.0316
14,1399140,1887.898676,37.5778656,-109.7360153,448.2114763,CO_14,8B47A4BC-AD61-4915-893C-12DAC2BEBB3E,8.981741737,89.0316
15,1400622,1954.516119,37.49621964,-109.8055191,345.9764223,CO_14,4964ED70-B468-4CA2-9588-8BE5AB27D742,10.1917036,19.0395
