SAMPLE,OTUCode,RCount
172811,7,7
172811,11,1
172811,39,135
172811,43,1
172811,80,18
172811,244,11
172811,254,2
172811,257,1
172811,271,116
172811,316,16
172811,333,4
172811,353,14
172811,409,33
172811,431,3
172811,499,16
172811,502,1
172811,504,13
172811,508,8
172812,5,29
172812,7,5
172812,34,3
172812,39,49
172812,80,8
172812,84,9
172812,86,7
172812,89,5
172812,249,1
172812,254,1
172812,271,1
172812,278,6
172812,316,1
172812,333,5
172812,353,2
172812,405,13
172812,409,4
172812,431,5
172812,489,11
172812,499,22
172812,504,4
172812,508,190
172812,510,19
173493,5,18
173493,7,3
173493,30,1
173493,43,28
173493,80,12
173493,86,33
173493,89,5
173493,254,6
173493,266,1
173493,271,208
173493,316,1
173493,367,15
173493,379,6
173493,399,18
173493,409,33
173493,455,1
173493,499,8
173493,502,1
173493,508,1
173493,510,1
173494,7,6
173494,11,1
173494,39,130
173494,43,1
173494,80,17
173494,244,11
173494,254,2
173494,257,1
173494,271,123
173494,316,17
173494,333,4
173494,353,14
173494,409,32
173494,431,3
173494,499,16
173494,502,1
173494,504,13
173494,508,8
173495,5,25
173495,7,6
173495,34,3
173495,39,43
173495,80,7
173495,84,6
173495,86,6
173495,89,3
173495,244,1
173495,278,8
173495,316,2
173495,333,5
173495,353,1
173495,405,13
173495,409,1
173495,431,5
173495,489,21
173495,499,18
173495,504,7
173495,508,197
173495,510,22
173496,5,7
173496,7,2
173496,12,1
173496,16,1
173496,43,6
173496,80,2
173496,84,2
173496,86,6
173496,89,1
173496,227,5
173496,244,17
173496,271,308
173496,303,14
173496,362,4
173496,391,3
173496,409,7
173496,438,13
173496,456,1
173497,7,2
173497,43,1
173497,86,1
173497,244,96
173497,254,2
173497,271,238
173497,295,9
173497,302,14
173497,367,15
173497,378,1
173497,379,2
173497,381,1
173497,387,1
173497,399,1
173497,409,16
173498,3,1
173498,7,3
173498,80,1
173498,84,61
173498,86,46
173498,89,5
173498,244,4
173498,271,86
173498,278,48
173498,316,18
173498,398,1
173498,404,8
173498,409,85
173498,456,1
173498,489,30
173498,504,2
173499,5,13
173499,7,4
173499,16,1
173499,57,1
173499,80,4
173499,84,23
173499,86,82
173499,89,2
173499,244,44
173499,254,4
173499,264,1
173499,271,28
173499,362,158
173499,409,9
173499,416,1
173499,438,2
173499,499,13
173499,502,1
173499,508,1
173499,510,7
173499,513,1
173500,5,5
173500,7,25
173500,33,16
173500,43,46
173500,48,65
173500,80,2
173500,84,8
173500,86,79
173500,89,2
173500,227,1
173500,244,7
173500,252,1
173500,254,3
173500,271,8
173500,277,4
173500,303,1
173500,321,2
173500,362,5
173500,367,8
173500,375,1
173500,391,2
173500,399,31
