SAMPLE,EVI_MAX_AVE,TMAXPT,TMAX_AVE,TMEAN_AVE,TMIN_AVE,RH_AVE,TMEANPT,MEANP_AVE,MAXP_AVE,MAXWD_AVE,FST32F_AVE,ELEV_MIN,ELEV_MEAN,DD_LAT_Y,SQ_KM
172811,2855.928223,273,252.9942627,50.22544861,-119.0057297,52.78134918,64,490.4239502,59.61708832,8.670125961,252.1639862,2169.908691,2416.425049,37.9755423,49.00413802
172812,2862.253906,273,251.0231171,49.13300323,-119.4124451,52.74070358,64,498.7177124,60.8927002,8.720171928,252.3584747,2186.563721,2420.690056,37.9721183,41.32188355
173493,2997.329346,288,259.7937927,57.35117722,-108.6896667,51.98644257,81,475.9296265,60.14419174,8,256.4713135,1941.317505,2318.763272,37.9856093,26.63072192
173496,4377.92041,269,216.5254822,40.82283401,-99.38263702,55.21525574,73,805.7511597,127.3892975,11.23958015,262.6617737,2048.828125,2570.099996,37.5978084,7.609900196
173497,3579.001709,245,199.3383942,24.21174812,-116.6654587,55.14533997,57,843.0454712,116.8369904,10.99912453,250.3323212,2248.226074,2866.733924,37.7654994,40.22154823
173498,3041.42749,313,276.6770935,69.48995972,-99.4704895,50.95481491,94,488.8459473,58.6999855,8.201151848,254.5984802,1633.080933,2232.591591,38.2143023,1399.016104
173499,3393.462646,258,250.3303986,61.71632004,-91.78929138,52,67,543.385437,73.66619873,9.702047348,258.3015442,2221.744629,2490.096037,37.7611334,1.259531011
173500,3480.935059,277,233.2462463,41.11107254,-117.7260742,51.48472977,73,693.961853,88.50897217,9.748258591,245.2479248,2198.416016,2643.978446,38.2152023,10.88961298
173501,2856.729004,298,292.961853,84.26016998,-86.76142883,43.53844452,86,389.3677368,50.64741898,7,260.8122559,2139.063477,2263.642964,38.3072474,0.774143341
173502,3427.924316,239,193.6407166,21.0242691,-117.7522812,55.57094955,54,874.5127563,121.4516602,11.17067909,249.3957062,2315.486572,2917.425565,37.7604244,28.49663169
173503,3238.723389,292,266.8700256,66.81775665,-88.15640259,50.42856216,84,485.9222412,56.14172363,7.999388218,264.7918396,1918.90625,2315.631362,38.4149313,19.0311104
173504,3001.931396,342,275.5729065,65.62309265,-107.2402725,51.05532074,100,450.3417664,55.28307724,8.443980217,255.7959595,1411.427979,2216.129808,39.4043682,15653.5248
173505,3207.166504,314,251.0068359,63.21759033,-82.09416962,41.97036362,101,525.2376099,64.38522339,7.26278019,261.1705322,1915.490723,2784.219665,39.7438672,23.09091573
173506,3485.200928,288,240.9850311,56.88185501,-85.59688568,41.53652573,80,578.2217407,71.74539948,7.569547176,261.1304016,2166.734863,2917.949769,39.7955642,15.92120894
173507,3263.953613,314,255.1011353,64.43556976,-83.21868896,41.79026031,101,523.4002686,63.90514374,7.143959999,262.289093,1883.759399,2736.666839,39.7795832,21.8819891
173508,2003.321533,362,299.4798279,82.37851715,-107.3842087,51.42656708,118,325.9761353,38.54489136,6.380103588,271.4962463,1225.307007,1960.156731,38.7557761,6275.377379
173509,1997.713135,362,299.761261,82.57151031,-107.3311539,51.43711853,118,325.3103943,38.4885025,6.372986794,271.5412903,1225.307007,1956.894762,38.7503321,6247.571919
173510,2713.902832,325,273.100708,68.8282547,-105.5529938,47.95819092,108,414.431488,54.26996613,7.862864017,268.9940491,1554.455811,2358.469627,37.7600613,1256.422951
173511,2724.324219,324,272.6022644,68.44939423,-105.7904205,47.92061615,107,416.2550049,54.47512817,7.871407032,268.9444885,1574.210205,2364.879331,37.7672973,1244.104578
173512,1553.418335,324,319.7527771,101.286438,-87.81497192,51.33987808,103,247.0476074,37.1940918,7.660122871,273.9770813,1632.40332,1818.931848,37.7744863,2.366583517
173513,2089.51709,361,293.6894226,78.23197174,-109.3949051,51.27746582,119,339.9735413,39.7504921,6.519010067,269.8222046,1251.660889,2015.895155,38.7366951,5507.955159
173514,2887.252441,288,252.8070068,53.25696564,-114.0565338,52.99539948,67,473.848175,59.88492203,8.999999046,248.3199615,2063.672119,2450.321731,37.8693433,47.34685429
173515,3443.376221,294,250.7901764,51.66778183,-113.9944611,45.8538208,84,546.911438,70.09302521,8.177763939,264.552948,1941.341797,2679.772751,37.7938243,156.0493201
173516,3554.626465,292,267.0995483,73.5881424,-86.77384186,54.33934402,89,458.0937805,57.81890106,7.000000477,269.4806824,1794.887817,2194.696104,37.3387664,46.01478173
173517,2694.661377,363,300.7974548,85.93845367,-98.72689056,51.51012802,117,433.8034363,51.8787384,7.26916647,276.6662903,1266.877564,2034.892379,38.907696,255.3301412
173518,3397.565918,307,274.7424316,75.61238098,-93.93621826,53,91,476.6599121,58.90461349,7.42582798,270.3865356,1897.074829,2345.456953,38.3548371,17.72736682
173519,2796.241943,313,293.3724976,80.95044708,-101.1761093,51.66606522,91,473.6175842,57.91646194,7.187185764,276.3579102,1766.26709,2165.971567,38.872577,23.53947399
173520,3315.423584,305,275.1284485,76.98383331,-96.66751862,52,94,546.6112671,71.54247284,7.946502209,270.0794678,1854.461426,2225.243341,38.649426,13.13906692
173521,1646.879639,353,321.9724426,106.9162979,-82.83569336,52.13850403,123,340.4285278,47.72164536,6.802484035,282.0631714,1272.546265,1708.271813,38.598804,36.38628849
173522,2878.279541,317,284.6083984,75.25028229,-103.4196472,52.06946945,98,395.7052917,42.85451126,6.523090363,277.0939941,1758.317993,2197.057611,39.3117379,72.71859666
173523,3279.365234,343,273.07547,67.93962097,-111.1291656,51.68118286,115,542.3635864,62.38596725,9.335450172,262.5648499,1300.910156,2348.230203,38.747018,11686.51738
173524,3250.125244,367,274.2445984,68.73525238,-110.660675,51.67219925,120,538.1098022,61.97803116,9.278873444,262.9488831,1251.281372,2334.084544,38.816837,11967.36555
173525,2273.432617,341,291.5730591,89.65901947,-87.60408783,52,117,448.8593445,61.25145721,6.899524212,274.362793,1409.931519,2047.944545,38.669533,54.16545094
173526,2226.266602,336,303.8309631,91.02310181,-92.78941345,52.9580574,108,363.1057129,48.91876221,6.591140747,274.8510742,1537.260864,1976.829222,38.3781071,104.3716208
173527,1759.542358,331,315.0991821,102.3768082,-84.53650665,51.52689362,112,370.5604553,51.42793274,6.997395992,277.9988403,1386.559082,1768.015753,38.705126,45.53252957
173528,1591.388672,357,329.7042236,110.819931,-82.67358398,52.09785843,125,317.1298523,44.29753113,6.587199211,283.4517517,1218.627564,1626.0423,38.60631,51.49929318
173529,1336.359131,347,333.6375427,116.9557724,-71.03684235,51.18091965,128,247.5201263,32.74075699,5.959254265,289.1989441,1250.763184,1656.898666,37.4741323,159.6283297
173530,2850.088379,333,298.0626831,88.35396576,-84.56647491,52.32785797,113,357.4073486,53.10265732,6.923235893,278.3550415,1622.176636,2197.96686,37.5672152,86.7225111
173531,2607.103027,347,287.8063965,83.87037659,-84.24354553,50.96396637,126,391.2494812,45.92559052,7.386242867,277.0419312,1255.364746,2235.859097,37.8555912,600.0907575
173532,2173.520996,321,295.355957,86.83503723,-87.87342072,51.22477341,101,362.2493896,43.03161621,7.313494205,274.0476685,1758.360474,2126.177462,37.9654942,191.7198367
173533,2059.719727,325,320.5134583,97.75776672,-91.69927216,51.99999619,103,281.0387878,43.95564651,6.023159504,282.0095215,1692.973755,1958.134728,37.4962122,18.38209674
173534,2018.413818,328,317.3127136,96.40826416,-90.5851593,52,107,292.1442871,45.88232422,6.246595383,281.6810913,1647.639038,2002.928717,37.4949862,54.9438705
173535,2776.176025,329,282.984436,80.06028748,-86.8945694,50.95799637,115,408.8173828,47.74266815,7.543840885,275.9360962,1344.178101,2295.620074,37.8394122,514.8108958
173536,2826.668945,334,281.289093,78.79230499,-87.6954422,50.96065521,116,414.5811157,48.34486008,7.609684944,275.6229858,1479.644043,2314.720814,37.8426722,493.1544797
173537,2878.436768,331,297.1556396,87.7660675,-84.7440033,52.31999969,110,359.5585327,53.60939789,6.950939178,278.2641907,1646.543823,2208.678549,37.5778582,84.22747779
