SiteID,Designatio,LAT,LONG,COMID,ElevCat,Precip8110Ws,Tmean8110Ws,WsAreaSqKm
7326,Cal,40.79740143,-111.7099991,10389342,1979.04,904.52,6.56,7.6653
8059,Cal,33.6194,-110.921,22442058,783.76,594.83,11.18,11060.7723
8165,Cal,34.53860092,-111.6940002,20435246,1233.73,631.73,9.74,626.5647
9735,Cal,47.5143013,-123.3300018,24285534,434.87,3786.13,6.76,147.429
9798,Cal,47.38650131,-121.8460007,24537924,331.1,2506.21,7.67,44.8272
9800,Cal,47.40309906,-121.8990021,947110254,292.82,1928.95,9.02,12.8943
9812,Cal,48.7322998,-121.1669998,24255741,1104.12,2608.19,5.05,52.6347
9814,Cal,48.68119812,-121.2730026,24255763,599.13,2757.42,5.14,100.6497
9896,Cal,41.09400177,-122.1169968,7960917,684.59,1453.7,9,1072.9179
9926,Cal,39.76679993,-121.7789993,12076092,210.53,1507.36,13.53,191.7144
9956,Cal,40.01399994,-121.947998,8020924,394.34,1465,11.2,542.574
9964,Cal,39.72880173,-121.7040024,1680009,144.14,1656.77,12.33,391.2813
9966,Cal,39.90879822,-121.6179962,2770154,756.94,1778.17,10.71,260.5815
9982,Cal,39.89319992,-121.6930008,8021798,538.25,1597.94,12.82,153.5715
9988,Cal,40.10240173,-121.4970016,2769744,1475.44,1822.98,8.22,84.1284
9990,Cal,40.18769836,-121.5319977,8020536,1305.7,1512.03,8.71,249.9579
10836,Cal,38.78419876,-106.8710022,1333198,2665.67,960.45,1.1,613.845
10856,Cal,40.32580185,-105.8570023,1234461,2786.87,837.6,0.19,170.2152
11606,Cal,46.83190155,-114.0540009,24319206,1019,801.43,4.38,7265.2734
11636,Cal,47.05599976,-115.3529968,23004793,1333.04,1409.82,4.37,312.2613
11909,Cal,37.79779816,-105.5029984,17890674,2995.29,761,2.75,41.8824
16357,Cal,46.94350052,-116.6380005,23460235,848.07,1045.82,6.68,147.4722
16390,Cal,38.16329956,-106.2910004,17880874,2514.33,567.83,2.63,1339.7679
16502,Cal,37.8223,-106.909,17906593,2678.68,811.14,1.13,1743.5673
16535,Cal,35.77640152,-106.2689972,17833378,1971.54,555.29,7.97,49.4163
16969,Cal,40.66439819,-105.223999,2900705,1692.6,554.93,4.21,2733.7617
23588,Cal,41.02999878,-111.8980026,10274816,2716.11,1324.4,3.34,0.8496
23681,Cal,40.63830185,-111.262001,10092644,2104.45,840.45,4.19,119.9394
23689,Cal,40.73720169,-111.2480011,10093110,2188.08,951.09,3.04,421.7409
23691,Cal,40.78530121,-111.1620026,10092410,2285.3,993.35,2.55,310.3605
23719,Cal,40.7798996,-111.8059998,10389424,1841.45,637.32,8.43,0.8082
25354,Cal,38.87820053,-119.689003,8924007,1563.71,883.99,6.03,970.4538
25411,Cal,38.77690125,-119.8990021,8922481,2314.99,1121.04,5.3,139.0149
26191,Cal,42.32460022,-114.2730026,24491164,1614.17,683.51,6.38,136.7487
26203,Cal,42.45270157,-114.8619995,23195924,1230.34,385.56,6.47,5019.6123
26206,Cal,43.77959824,-114.4960022,23251503,2058.03,883.96,1.06,17.1603
26209,Cal,43.49160004,-114.0589981,23267066,1663.6,538.94,4.03,639.1134
