SampleID,reachid,fieldnotes,LAT,LONG,ElevCat,WsAreaSqKm,Tmean8110Ws,Precip8110Ws
153135,OT-RO-7092,12739,45.6905,-105.19467,877.1190174,28336.815,7.08357884,357.9285421
153136,OT-RO-7097,12738,45.34473,-105.53611,972.3216062,22196.421,6.945153119,355.3604142
153137,OT-LS-7008,12740,46.58174,-104.81898,783.9841607,544.266,6.893547931,355.7515715
153156,MN-LS-1024,12732,44.851,-112.2077,2190.253439,77.0877,0.878819141,816.5927675
153157,CAMPCR-01,12731,45.6564,-112.6144,1811.096174,87.8229,3.135424267,560.1287562
153158,OT-LS-7016,12730,48.8082,-109.3299,786.6402509,3435.4377,4.93057133,331.0761237
153159,OT-LS-7015,12729,48.703,-107.5989,717.7447719,2354.427,5.10375109,308.8398865
153160,OT-LS-7011,12733,47.9598,-106.7621,676.6573972,782.271,6.818416953,309.6022564
153161,OT-SS-7113,12734,47.7425,-108.656,846.9789889,150.5556,7.293990415,366.7459991
153162,OT-SS-7129,12735,47.7145,-108.6269,846.9789889,150.5556,7.293990415,366.7459991
153163,OT-LS-7004,12736,48.075,-109.1301,997.3183032,291.9942,5.806537478,434.0149888
153164,OT-LS-7020,12737,47.6935,-109.9068,878.5434149,882.5931,7.404841894,390.0342141
153184,OT-SS-7145,6880743692,47.761119,-108.669008,846.9789889,150.5556,7.293990415,366.7459991
153200,XE-LS-5034,9338671446,45.03773,-108.649923,1355.900803,516.5334,6.463187474,396.7315515
153236,XN-SS-4095,8293953740,47.110264,-117.804211,549.0746667,55.377,9.024660137,420.1548985
153243,MN-RM-1073,9161554549,46.036191,-117.213821,619.546791,8886.7026,6.766593467,727.097058
153245,MN-SS-1145,3978290844,44.550321,-112.210636,2294.985586,6.9822,2.53502188,595.6842292
153249,MN-SS-1140,4146125420,45.596768,-111.837066,2043.575536,7.929,3.768250643,584.7845748
153250,MN-SS-1114,7424474193,48.042571,-118.092788,1192.446131,3.2778,7.136728407,640.9559025
153290,OT-LS-7012,2656541490,48.854,-106.9193,754.3941761,1669.3173,4.261529354,326.192154
153291,OT-LS-7024,8394834999,46.703,-104.669,763.824279,501.0894,6.818972812,360.0501942
153292,OT-RM-7083,3894129524,47.141399,-107.939,745.0929688,20625.0516,6.867906819,396.7931806
153293,OT-RO-7095,4062415770,48.0892,-107.551,699.1653258,2362.4154,6.918588058,327.3237925
153294,OT-SS-7133,8528795104,48.9273,-106.867,776.2784981,863.0838,4.212018963,328.9256889
153307,OT-RM-7082,2027464674,48.07294265,-104.9824292,600.2833662,217909.7892,5.654000344,409.1724664
155839,MN-LS-1008,4136189457,44.637901,-112.034042,2043.901162,810.3474,2.135656799,663.7822484
155860,MN-LS-1022,8057048016,45.554257,-111.786735,1690.453759,33.2028,4.572390416,523.1828936
155862,MN-SS-1097,6894654198,45.392934,-111.931016,2209.768643,8.6211,2.757969181,671.2329694
155863,MN-SS-1105,4727671064,47.801693,-112.680338,2002.099029,15.6321,2.391163835,914.3237909
155867,OT-SS-7122,7970671418,47.636992,-112.680128,1859.54415,1.9386,3.182975272,641.9780339
155869,OT-SS-7154,4274859221,46.141689,-110.870952,1985.215074,5.5926,3.689237325,680.6405042
164809,SP-TR-001,DDA868C1-1BBC-4809-88FC-D33010784A98,47.49926,-119.939171,603.4467417,428.4819,7.763745097,296.0726273
171940,MN-SS-1114,A6A8E805-F304-479E-86FE-D9E3D90740E1,48.042571,-118.092788,1192.446131,3.2778,7.136728407,640.9559025
171968,XN-SS-4095,96F3940C-AA60-44C6-82CC-9D86F9902413,47.110264,-117.804211,549.0746667,55.377,9.024660137,420.1548985
172826,MN-SS-1097,1CD6D97C-1069-4C82-9A3F-A5F2BB7279D2,45.392934,-111.931016,2209.768643,8.6211,2.757969181,671.2329694
172827,MN-SS-1170,C78B9DD7-FBB2-4820-BE3F-E3122C55AD94,44.569929,-112.137967,2302.543,6.6609,2.426926392,653.8319497
172828,OT-LS-7004,B0C6819E-0392-4804-9565-C89EA608D5B5,48.075,-109.1301,997.3183032,291.9942,5.806537478,434.0149888
172829,OT-LS-7015,34DE0B29-6F0D-461F-A36B-3AC5164781A8,48.703,-107.5989,717.7447719,2354.427,5.10375109,308.8398865
172830,OT-LS-7016,4D48D0EB-10A6-4E8F-B381-DA8373250A06,48.8082,-109.3299,786.6402509,3435.4377,4.93057133,331.0761237
172831,OT-LS-7076,74AADA4C-B776-47C3-891C-1B971A756A04,48.771811,-107.640507,741.6659931,1411.4898,5.188139153,309.7981596
172832,OT-SS-7122,AF848EA3-DD68-489D-9CDA-7C26906A4C47,47.636992,-112.680128,1859.54415,1.9386,3.182975272,641.9780339
