SAMPLE	TYPE	Acari	Baetis	Brachycentrus_americanus	Capniidae	Chloroperlidae	Cinygmula	Cleptelmis	D_coloradensis_flavilinea	D_grandis_spinifera	Ephemerella	Heterlimnius	Hexatoma	Micrasema	Micropsectra	Nematoda	Orthocladius	Pericoma	R_brunnea	Simulium	Sphaeriidae	Taeniopterygidae	Turbellaria	Zapada_cinctipes	Ceratopogoninae	Dicranota	Diphetor	Dolophilodes	Doroneuria	Drunella_doddsi	Naididae	Oligophlebodes	Pagastia	Paraleptophlebia	Parapsyche	Prosimulium	R_betteni	Ameletus	Diamesa	Epeorus	Hydrobaenus	Tvetenia	Zapada_oregonensis	Chelifera	Cricotopus_Nostococladius	Rheotanytarsus	Stempellina	Acentrella	Atherix	Claassenia	Hesperoperla	Lepidostoma	Optioservus	Pteronarcys	R_coloradensis	Rhithrogena	Zaitzevia	Antocha	Eukiefferiella	Hydropsyche	Neothremma	Glossosoma	R_pellisa	Brillia	Megarcys	Polypedilum	Serratella	Arctopsyche	Clinocera	Pteronarcella	Skwala	Parorthocladius	R_hyalinata	Apatania	Narpus	Potthastia	Brachycentrus_occidentalis	Wiedemannia	Cladotanytarsus	Ochrotrichia	Agraylea	Hydroptila	Rheocricotopus	Corynoneura	Tanytarsus	Enchytraeidae	Neophylax	Heptagenia_Nixe	Agapetus	Helicopsyche	Isoperla	Microcylloepus	Physidae	Protoptila	Thienemannimyia	Tipula	Tricorythodes	Petrophila	Coenagrionidae	Dubiraphia	Microtendipes	Nectopsyche	Oecetis	Psychomyiidae	Parametriocnemus	Cheumatopsyche	Malenka	Dixidae	Gomphidae	Hyalella	Ancylidae	Dytiscidae	Gammarus	Hemerodromia	Thienemanniella	Cricotopus_bicinctus	Caenis	Stempellinella	Chaetocladius	Caudatella	Zapada_columbiana	Cricotopus_trifascia	Sublettea	Fallceon_quilleri	Pisidiidae	Cricotopus_Cricotopus
6	V	0	141	0	2	2	3	0	0	1	0	0	0	1	0	2	8	0	0	0	0	0	0	31	0	0	0	0	8	38	0	0	0	0	0	0	0	1	13	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	13	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	V	2	30	3	7	11	33	0	1	0	5	16	0	20	9	2	3	0	14	1	1	0	2	56	0	0	0	9	15	41	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	C	0	132	17	0	19	1	0	0	1	1	8	0	0	2	0	5	12	0	0	0	15	0	18	0	0	0	2	0	3	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	36	0	1	0	0	0	0	0	2	0	0	0	8	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	C	7	4	0	0	14	96	0	6	0	0	30	0	0	0	0	34	1	0	1	0	7	13	2	0	0	0	0	0	2	0	0	0	0	1	0	5	2	1	1	8	4	29	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	13	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	C	15	37	24	0	12	0	0	0	5	2	1	1	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	3	0	1	0	2	0	4	89	53	0	0	10	1	0	0	1	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	C	21	28	34	1	17	14	1	1	0	0	15	0	60	0	0	15	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	30	0	0	0	0	8	1	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	2	11	0	5	2	0	0	3	0	0	0	0	4	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	C	5	109	2	0	1	0	0	1	2	27	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	43	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	3	1	0	0	27	1	2	13	2	8	0	25	0	6	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	C	8	44	0	1	6	7	16	0	0	0	24	0	7	19	6	6	4	8	0	2	4	22	39	0	0	0	3	2	6	5	8	21	13	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	C	8	62	0	1	3	10	4	0	1	0	24	0	29	1	0	7	0	6	0	3	1	8	57	0	0	0	4	1	13	0	0	1	1	0	0	0	1	0	0	0	6	0	0	7	13	1	0	0	0	0	0	0	0	0	0	0	3	2	0	11	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	C	1	68	0	0	0	0	14	1	1	0	3	0	33	1	1	9	0	3	1	8	0	0	11	0	1	3	0	0	0	1	41	5	6	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
