SAMPLE	TYPE	HV_UPPERPLATTE	SR_BIGHORNS	VMV	GM	SM	SR	SFLR	BBF	BH	HV	SEP	NEP	WB	BenCollDate	MeanDailyMinTemp_LOG	MeanDailyMaxTemp_LOG	MeanAnnPrecip_LOG	pH_LOG	temp_LOG	CHL_LOG	SO4_LOG	EC_LOG	NITRATE_LOG	TP_LOG	TSS_LOG	TURB_LOG	DO_LOG	OPEN_WATER	ICE_SNOW	D_OPEN	D_LOW	D_MEDIUM	D_HIGH	D_ALL	BARREN	D_FOREST	E_FOREST	MIX_FOREST	SHRUB_SCRUB	GRASS	PAS_HAY	CUL_CROP	D_CULCROP	W_WETLAND	H_WETLAND	G_CH_MAJ	G_NU_MAJ	UGN	ALK_LOG	MRC	MRE	MRW	NGP	WHP	LAT	LONG	ELV_LOG	W_LOG
10	C	0	1	0	0	0	0	0	0	0	0	0	0	0	10/21/1994	2.85672889	3.143639235	4.72542155	0.959041392	0.716003344	0.77815125	1.176091259	2.606381365	0.041392685	0.041392685	0.301029996	0.176091259	1.068185862	0	0	0.034791689	0	0	0	0.034791689	0.022653221	0.240961916	1.846947361	0.001339534	1.221116244	1.177275916	0	0	0.034791689	0.045795948	0.012344504	5	1	0	2.096910013	1	0	0	0	0	44.98688333	-107.6386806	3.655138435	2.255754779
13	C	0	1	0	1	0	0	0	0	0	0	0	0	0	9/15/1993	2.677606953	2.782472624	4.925575064	0.977723605	0.792391689	0.77815125	1.255272505	2.588831726	0.079181246	0.041392685	0.477121255	0.049218023	1.056904851	0	0	0.360547883	0	0	0	0.360547883	0	0	1.25118928	0	1.599884179	1.643562834	0	0	0.360547883	0.026704654	0	5	1	0	2.176091259	1	0	0	0	0	44.75111111	-107.7669444	3.945468585	0.505149985
14	C	0	1	0	0	0	0	0	1	0	0	0	0	0	9/28/1993	3.04060234	3.151982395	4.658154547	0.973127854	1.056904851	0.77815125	1.041392685	2.326335861	0.041392685	0.041392685	0.602059991	0.146128036	1.075546961	0.173868175	0.05454519	0	0	0	0	0	0.020516713	0.069439392	1.628310292	0.001372254	1.485495839	1.460228445	0.006141282	0	0	0.067930772	0.014291866	1	1	0	1.977723605	1	0	0	0	0	44.28833333	-107.4858333	3.71432976	2.164055274
16	C	0	1	0	1	0	0	0	0	0	0	0	0	0	8/25/1995	2.693726949	2.907948522	4.800909445	0.949390007	1.222716471	0.77815125	1.041392685	2.029383778	0.041392685	0.041392685	0.477121255	0.176091259	1.049218023	0	0	0.207033792	0	0	0	0.207033792	0	0.096356142	1.826261051	0	1.363503198	1.066642791	0	0	0.207033792	0.132377011	0.001300446	1	1	0	1.77815125	1	0	0	0	0	44.76693611	-107.4720833	3.88422877	1.837588457
19	C	0	1	0	0	1	0	0	0	0	0	0	0	0	10/16/1995	2.965671971	3.104487111	4.702628681	0.968482949	0.913813852	0.77815125	1.041392685	2.357934847	0.041392685	0.041392685	0.84509804	0.380211242	1.068185862	0.007452784	0	0.275652203	0.024987447	0.003742379	0	0.291004005	0.005928807	0.166579944	1.786337228	0	1.327013227	1.259459174	0	0	0.291004005	0.192128395	0.158827619	1	1	0	2.130333768	1	0	0	0	0	44.846625	-107.3306833	3.614897216	2.305351369
27	C	1	1	0	0	0	0	0	0	0	1	0	0	0	10/20/1993	2.901458321	3.123524981	4.701179277	0.963787827	1.021189299	0.77815125	1.041392685	2.622214023	0.041392685	0.041392685	0.477121255	0.093421685	1.056904851	0	0	0	0	0	0	0	0	0.404562785	1.846478072	0	1.239089003	1.14125677	0	0	0	0.022574953	0	5	1	0	2.176091259	1	0	0	0	0	44.94972222	-107.48	3.686636269	0.995635178
39	C	0	1	0	1	0	0	0	0	0	0	0	0	0	9/20/1993	2.829946696	2.954724791	4.734711842	0.944482672	0.880813592	0.77815125	1.041392685	1.544068044	0.086359831	0.041392685	0.602059991	0.071882007	1.037426498	0.28158852	0.004066153	0	0	0	0	0	0.103471756	0.250143954	1.595804352	0	1.367799566	1.573917737	0	0	0	0.252434445	0	1	1	1	1.477121255	1	0	0	0	0	44.27388889	-106.9683333	3.895422546	1.220108098
42	C	0	1	0	0	1	0	0	0	0	0	0	0	0	10/22/1993	2.887054378	2.946452265	4.716445765	0.977723605	0.986771734	0.77815125	1.041392685	2.619093331	0.041392685	0.041392685	0.477121255	0.322219295	1.064457989	0	0	0	0	0	0	0	0	0	1.697578772	0	1.568737689	1.190384486	0	0	0	0.100048965	0.131385632	5	1	0	2.301029996	1	0	0	0	0	43.90777778	-107.0302778	3.880813592	0.763428008
72	C	0	0	0	0	0	0	0	0	1	0	0	0	0	9/20/1994	3.010723865	3.16613397	4.774619141	0.963787827	1.176091259	0.77815125	2.403120521	2.913813852	0.176091259	0.041392685	0.477121255	0.176091259	1.021189299	0	0	0.089703374	0.023289336	0	0	0.108740316	0.014582503	0.266314521	1.857526776	0.145019662	1.149448603	1.175858241	0.080175731	0.021639045	0.125678452	0.007295493	0.015421949	5	3	0	2.301029996	0	1	0	0	0	44.49027778	-104.1069444	3.5774918	2.409933123
74	C	0	0	0	0	0	0	0	0	1	0	0	0	0	10/19/1995	2.948412966	3.15896526	4.663257926	0.944482672	0.857332496	0.77815125	3.09131516	3.383994789	0.158362492	0.041392685	0.602059991	0.431363764	1.021189299	0	0	0.061779901	0.015932821	0	0	0.075633365	0.017195155	0.0457029	1.827199347	0.01228304	1.153600586	1.322308274	0.00521421	0.003916515	0.078926266	0.048936974	0.028701017	5	3	0	2.33243846	0	1	0	0	0	43.88722222	-104.0972222	3.660865478	2.008600172
