"","sampleId","boxId","siteId","visitId","customerSiteCode","modelId","modelName","modelAbbr","modelTypeId","modelTypeName","modelTypeAbbr","translationId","translationName","codeFunction","codeFunction2","fixedCount","oResult","eResult","modelApplicability","modelResult","condition","notes","updatedDate"
"1",173332,2143,22940,NA,"TC-Lower/518TCL004",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.508026,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"3",173333,2143,22940,NA,"TC-Lower/518TCL004",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.34997,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"5",173334,2143,22940,NA,"TC-Lower/518TCL004",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.430949,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"7",173335,2143,22945,NA,"TC-Upper/518TCU005",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.472671,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"9",173336,2143,22945,NA,"TC-Upper/518TCU005",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.453539,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"11",173337,2143,22945,NA,"TC-Upper/518TCU005",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.454507,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"13",173338,2143,30749,NA,"Yellow Creek-2-DS/518YCDS01",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,TRUE,1.16107,"Good: likely intact","Absent","2022-02-03T00:46:19.469629+00:00"
"15",173339,2143,30749,NA,"Yellow Creek-2-DS/518YCDS01",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,TRUE,0.782228,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
"17",173340,2143,20319,NA,"Sac R at Bourbon Island/508SRBI01",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,1.01155,"Good: likely intact","Absent","2022-02-03T00:46:19.469629+00:00"
"19",173341,2143,20318,NA,"Sac R at Anderson RP/508SRARP1",1,"California Stream Condition Index (O/E and Multimetric Index)","CA_CSCI",3,"Both Observed Versus Expected and Multimetric Index","Hybrid",9,"OTUCodeCSCIswamp","","",300,NA,NA,FALSE,0.660167,"Poor: Likely or very likely altered","Absent","2022-02-03T00:46:19.469629+00:00"
