SiteCode,CaO_Mean,TP_Mean,Vol_ave,AtmCa,AtmNa,AtmNO3,AtmSO4,TMIN_WS,XWD_WS,RH_WS,PT_Tmin,AWC_soil,Db3rdbar,Kfact,Pct_Alfi,SOC,EVI_AveAve,Evergr_ave,alru_dom,Wb_mx_area,slpavg,GW_P_Sp_Mx,ER13,PPT_ACCUM,PPT_2MoAvg,DOY,Type,GIS_LAT,GIS_LONG
9508300,4.43,0.18,0.1832,0.291,0.098,1.038,0.773,-45.1,61.5,39.8,0,0.0911,1.2981,0.059,3.4,4.7728,1828,0.5713,0,682,0.0703,62,Y,71040.2,13086.3,239,REF,,
10249900,3.35,0.16,0.0905,0.066,0.079,0.508,0.243,-103.8,43.4,52.7,-76,0.0687,1.4598,0.1075,0,2.1859,1341,0.3009,0,0,0.1565,381,N,31463.4,648.8,264,REF,,
10296000,4.31,0.19,0.4015,0.059,0.064,0.481,0.232,-104.2,79.1,59.3,-101,0.0714,1.2192,0.1203,16.5,5.6983,1727,0.1885,0.0124,316845,0.1104,41,N,150412.1,7402.6,170,REF,,
10343500,3.21,0.17,0.5755,0.053,0.089,0.416,0.205,-89.5,81,54.3,-97,0.0985,1.2959,0.2976,88.2,6.416,3230,0.8832,0.0442,4161,0.0722,28,N,86450.8,1710.9,221,REF,,
11124500,14.15,0.12,0,0.062,0.197,0.638,0.325,15,37.1,54,29,0.1373,1.453,0.3117,74.4,3.5192,2652,0.2165,0,1735,0.1345,26,N,140090.9,878.9,158,REF,,
07Manuel020.9,17.49,0.12,0,0.246,0.046,1.021,0.68,-104.4,77,49,-99,0.0972,1.4077,0.2,58.8,4.303,2735,0.8762,0,0,0.1259,22,N,49339.1,10785.9,239,REF,35.855,-105.455556
07Sapell069.8,17.42,0.12,0,0.246,0.045,1.021,0.68,-96.3,86.3,50.7,-97,0.0977,1.4069,0.2,66.9,4.2967,2600,0.7972,0,3183,0.1203,22,N,49607.6,10412.1,260,REF,35.819722,-105.465278
111CE0551,6.38,0.21,0,0.034,0.326,0.248,0.218,-14.8,96.3,61,-2,0.08,1.4471,0.1143,0,6.5342,2663,0.1049,0.0244,0,0.2482,38,N,147808.4,2626.7,208,REF,39.35314,-122.77651
113CE0097,3.13,0.15,0,0.033,0.329,0.231,0.211,19,83.1,63.6,28,0.1268,1.4134,0.32,88.8,8.9249,3941,0.7198,0.0167,3081,0.0715,33,N,125545.7,2972.3,207,REF,39.254722,-123.51
1993SBOIA049,2.28,0.15,0.9867,0.13,0.12,0.525,0.314,-100.8,67.8,55.9,-67,0.1253,1.3965,0.1929,80.4,4.4131,965,0.0001,0,200865,0.0602,1650,N,35746.6,3830.5,180,REF,42.73022,-116.10283
1997SPOCA004,23.6,0.13,0.2464,0.309,0.181,0.825,0.557,-106.3,102.3,58.3,-101,0.1431,1.3631,0.4224,0,6.6467,2948,0.4528,0,1603,0.074,69,N,67303.5,4268.4,194,REF,42.72383,-112.42346
